Location,Model,n_train,n_val,n_test,Train_R2,Train_RMSE,Train_MAE,Train_MAPE,Train_MedAE,Val_R2,Val_RMSE,Val_MAE,Val_MAPE,Val_MedAE,Test_R2,Test_RMSE,Test_MAE,Test_MAPE,Test_MedAE,BestModelFile,FeatureRowsUsed
Abdullah Arda Meydanı No:29 Arkadaşlar Kahvesi,GradientBoosting,14,3,4,-6.17248954735139e-05,0.5293705364664056,0.27951873796032445,0.0031250993835414587,0.11260162080074565,-1.115429329093975,0.20961268148012496,0.18125784756349125,0.002008755167212904,0.2010393857649717,-0.2613525032020534,0.4862086068956461,0.36389283655815063,0.004067779832321662,0.28460791844102573,ai_outputs\per_location_next_week\models\Abdullah_Arda_Meydanı_No_29_Arkadaşlar_Kahvesi_best_GradientBoosting.pkl,21
Alim Dağhan Cd. İle 6716 Sok. Kvs,RandomForest,15,3,4,0.21462859169226223,0.44339759170804455,0.37431715033323865,0.004193146333262928,0.36862992197298183,-0.14970343653305385,0.29629528855709214,0.2690497764390993,0.0030202354213695014,0.21906326243897922,-3.6105767847351933,0.08666144249019402,0.07149195432688771,0.0008014478396331543,0.05325274037539174,ai_outputs\per_location_next_week\models\Alim_Dağhan_Cd._İle_6716_Sok._Kvs_best_RandomForest.pkl,22
Altan Aydin İle 4165 Sok.. Kvs Aktepe,RandomForest,15,3,4,0.20344384697831697,0.15137572939246252,0.12890569292908652,0.0014307631522119662,0.12452080435285495,-3.548746024692604,0.043441272364419456,0.03765551398185588,0.0004180355766157473,0.04096117587900494,-0.11240096334935057,0.22433917260996014,0.18853598552617257,0.002088917737831742,0.18027526506072888,ai_outputs\per_location_next_week\models\Altan_Aydin_İle_4165_Sok.._Kvs_Aktepe_best_RandomForest.pkl,22
Ankara Cad. İle Atatürk Cad. Kav,XGBoost,15,3,4,0.568793591930087,0.18740272164766966,0.14409857255476954,0.0016021725951177316,0.10957640928511125,-4.958953470711897,0.5620060941926034,0.5030949020396681,0.005635759265543096,0.36899097844604967,-14.739948569636503,0.7841663557006693,0.7610141541623143,0.008542357550873955,0.7216824019209298,ai_outputs\per_location_next_week\models\Ankara_Cad._İle_Atatürk_Cad._Kav_best_XGBoost.pkl,22
Atatürk Cad. İle Zübeyde Hanim Cad.kavşağı,RandomForest,14,3,4,0.131480312132646,0.37137212554609716,0.30372797445318767,0.003408484289771034,0.33805054846150995,-2.9336432010374294,0.3722824564929854,0.3217247437161272,0.0035939449199507314,0.24185630769659383,-0.010192448761583872,0.4478010379632436,0.42843422169710266,0.004798827641214537,0.3647844187310625,ai_outputs\per_location_next_week\models\Atatürk_Cad._İle_Zübeyde_Hanim_Cad.kavşağı_best_RandomForest.pkl,21
Başak Cd. No:16 Bahçe Cafe İnciralti,RandomForest,15,3,4,0.2617508790952604,0.431460066693837,0.27410073979999844,0.0030764493138899134,0.15169953810826087,-6.455977346064432,0.19468369506887423,0.1697894404578856,0.0018948944577866199,0.10271187791323655,0.11058727041215755,0.31040580243161275,0.3062253407998803,0.003426903239194242,0.32246639262505283,ai_outputs\per_location_next_week\models\Başak_Cd._No_16_Bahçe_Cafe_İnciralti_best_RandomForest.pkl,22
Başarı Cad.i̇le 170. Sok.kavşağı,RandomForest,14,3,4,0.13597307320932117,0.21147203810163048,0.15722351224857484,0.0017423636787523814,0.10974057307312535,-1.9667959985482133,0.051155813501309565,0.040336715920356404,0.0004473049946669445,0.02191500197687901,-3.240296524291022,0.5096050318558685,0.4447056752540881,0.00495987422979613,0.36971953166433735,ai_outputs\per_location_next_week\models\Başarı_Cad.i̇le_170._Sok.kavşağı_best_RandomForest.pkl,21
Başpehlivan Kara Ali Cad. No:25/a,GradientBoosting,14,3,3,-7.251248862294446e-05,0.3707856305754854,0.3185751614926216,0.003574235383479048,0.2831468461516522,-2.710820474426,0.46688619125929554,0.399049192033966,0.004452419526914996,0.45211550096915687,-0.01554797504895955,0.40730785282503784,0.38853128535708,0.004362447211857895,0.43806759781864457,ai_outputs\per_location_next_week\models\Başpehlivan_Kara_Ali_Cad._No_25_a_best_GradientBoosting.pkl,20
Cumhuriyet Meydanı No:16 Işıkkent,XGBoost,14,3,4,0.8676766597868781,0.22483027288344973,0.16579350750907093,0.0018510955890898959,0.1338702932647422,-0.35821628985042264,0.4049012804085787,0.37479331301936253,0.004182531264199363,0.3665286201184017,-0.46701496756168615,0.5088751649486016,0.37573953242607416,0.004228829083726456,0.3647806477660467,ai_outputs\per_location_next_week\models\Cumhuriyet_Meydanı_No_16_Işıkkent_best_XGBoost.pkl,21
Dicle Cad. No:88 Aile Sağlığı Merkezi,XGBoost,15,3,4,0.5465734717378746,0.19445423024920655,0.13839281256108507,0.0015413510560715739,0.13382295094955055,-0.22296804618558608,1.0397071439989456,0.8017905987790783,0.009038067175786762,0.35346222842260033,-13.760886169837473,0.3616442932404158,0.34340588369369485,0.0038069343412956134,0.31234328979996206,ai_outputs\per_location_next_week\models\Dicle_Cad._No_88_Aile_Sağlığı_Merkezi_best_XGBoost.pkl,22
Dogus Cad. İle A.yesevi Cd. Kvs. Kuruçeşme,RandomForest,15,3,4,0.2979915355586775,0.14518382149812778,0.1134412048189707,0.0012573037649595588,0.0845817114540921,-0.060795570424295065,0.17776782253444817,0.14411655033396187,0.001600864382842289,0.1348200288293384,-0.2844002242043904,0.10570947637765175,0.08420580618608398,0.0009325963752314171,0.08974383959662191,ai_outputs\per_location_next_week\models\Dogus_Cad._İle_A.yesevi_Cd._Kvs._Kuruçeşme_best_RandomForest.pkl,22
Ege Üni.kampüsü İtfaiye Çeşmesi/i̇zsu Teknik Amirlik,GradientBoosting,14,3,4,-0.000745992588877531,0.5858859094312023,0.5323444298480179,0.005940474186052639,0.566426918698248,-1.4876593763356563,0.3532558768036727,0.2994866738964059,0.003359587150369473,0.3854876708551416,-0.6491531731141111,0.5101821608260014,0.3917973117582285,0.004406278712439748,0.31972157916298016,ai_outputs\per_location_next_week\models\Ege_Üni.kampüsü_İtfaiye_Çeşmesi_i̇zsu_Teknik_Amirlik_best_GradientBoosting.pkl,21
Eski Izmir Cad. 3959 Kvs Uzundere,Ridge,15,3,4,0.7152694492722604,0.15279066182468548,0.09963225112754705,0.001109214634952233,0.06270339889114496,-11.408212794701225,0.25360769905016967,0.24186475185822096,0.002683465873743134,0.29293547928273256,0.04941314748776415,0.19558216790847144,0.14202738366005363,0.0015771891265129706,0.07013195523328619,ai_outputs\per_location_next_week\models\Eski_Izmir_Cad._3959_Kvs_Uzundere_best_Ridge.pkl,22
Eski Izmir Cad. No:562/a Kahve,XGBoost,14,3,4,0.1770728927548244,0.2194564481299838,0.1485167871353923,0.0016447565348651568,0.0949399214999147,-0.20605820109587336,0.21120798843985208,0.1762070324786388,0.0019576354284565806,0.16722049603271216,-0.13236322993916394,0.1285321596157638,0.12080093661804625,0.0013409568132535844,0.13185884043694784,ai_outputs\per_location_next_week\models\Eski_Izmir_Cad._No_562_a_Kahve_best_XGBoost.pkl,21
Fatih Cd. İle Beyazıt Cd. Tuğlacı Önü Mersinli,XGBoost,15,3,4,0.5559482618996462,0.21873177144475076,0.13599160134902205,0.001511322714075936,0.04734312217235015,-4.6935509370348605,0.542445000416551,0.49260227751247027,0.005518927714653263,0.4450815712008591,-1.574854189921532,0.647335582061165,0.555653294662843,0.006237155189740527,0.5632548851959456,ai_outputs\per_location_next_week\models\Fatih_Cd._İle_Beyazıt_Cd._Tuğlacı_Önü_Mersinli_best_XGBoost.pkl,22
Gaziler Cad. No:185 İtfaiye Önü,GradientBoosting,14,3,4,-0.0024238057829426563,0.4798818444675668,0.4016550753698504,0.004488511166062979,0.4016267369690425,-14.899428535760235,0.6111479177213267,0.5916166454749572,0.00656803604041939,0.5010184217475029,-0.13764115963888646,0.18092437383191756,0.16727637912391558,0.0018674930254463885,0.1576781095487121,ai_outputs\per_location_next_week\models\Gaziler_Cad._No_185_İtfaiye_Önü_best_GradientBoosting.pkl,21
Hakan Uysal Cad. No:273/1 Çay Mahallesi,XGBoost,15,3,4,0.7740894904978455,0.21305712304884003,0.15063671465761577,0.0016884695760447156,0.08818721722941802,-2.1190722270159172,0.3793108317957313,0.24552524517164898,0.0027612131215719268,0.046736663606409934,0.7209101697743703,0.10054048669598008,0.08979008687023082,0.0010043095134974309,0.08759266655750508,ai_outputs\per_location_next_week\models\Hakan_Uysal_Cad._No_273_1_Çay_Mahallesi_best_XGBoost.pkl,22
Hürriyet Bulvarı No:14/e,RandomForest,15,3,4,0.38276572956935706,0.31328788183458406,0.278521382182609,0.0031155556860573853,0.26854803394603266,-3.3130567039617818,0.6865688904081967,0.6333688639310869,0.007138875707585975,0.759761986844893,-4.486989739248533,0.645091737020061,0.5795540761215001,0.006532335092310671,0.6590867378020633,ai_outputs\per_location_next_week\models\Hürriyet_Bulvarı_No_14_e_best_RandomForest.pkl,22
Hürriyet Cad. Polis Mer. No:86 Atatürk,XGBoost,14,3,3,0.8358404888685868,0.21090888908054212,0.1651038588007562,0.0018472714964178753,0.18549535127770866,-3.1294424765804862,0.3922438434962491,0.315195467241755,0.0035341472984804644,0.28212941391687707,0.6503399258976486,0.25896196251998993,0.22141027226507978,0.002484506073092883,0.2124934335935933,ai_outputs\per_location_next_week\models\Hürriyet_Cad._Polis_Mer._No_86_Atatürk_best_XGBoost.pkl,20
I.sivri Cd. İle 254 Sok.. Kvs. Kozağaç,GradientBoosting,15,3,4,-0.0009228219133721183,0.16125177821610964,0.13011682022961396,0.001442769742483888,0.09405294929399588,-0.19219410215173038,0.32923226800699235,0.23739750248027747,0.0026444585354340228,0.15781110083602812,-1.727628324425698,0.1737038939547582,0.14778363829325158,0.0016354589243959023,0.14785931241682704,ai_outputs\per_location_next_week\models\I.sivri_Cd._İle_254_Sok.._Kvs._Kozağaç_best_GradientBoosting.pkl,22
Kahramanlar Cd. No:2 H. Bayram Camii,Ridge,15,3,4,0.9177650111470836,0.04919957739282805,0.04272635325890235,0.0004745304472832871,0.041707551264181575,-12.226481446284726,0.2738595879632839,0.20635469915845306,0.0022902805155841093,0.13891727487116157,0.4454988556786269,0.16398366836730643,0.14153642416655998,0.0015696303964881524,0.1704625223838292,ai_outputs\per_location_next_week\models\Kahramanlar_Cd._No_2_H._Bayram_Camii_best_Ridge.pkl,22
Kazım Dirik Cad. No.46,RandomForest,14,3,4,0.17883091084811198,0.24937422108707719,0.18597301979010844,0.002073776902192446,0.12759823874067422,-0.07599322345709547,0.17739576738156537,0.16737066661637812,0.0018648080080044722,0.17258484723151923,-0.39271321566355444,0.3974285218496058,0.36862560291302415,0.0041226748001358254,0.3042370460160768,ai_outputs\per_location_next_week\models\Kazım_Dirik_Cad._No.46_best_RandomForest.pkl,21
Kemalpaşa Cad. No: 46,GradientBoosting,14,3,4,-0.0010820815722378807,0.6127245722998014,0.5136631706433222,0.005736385635008007,0.587516308697019,-19.065473521558467,0.34542980194247686,0.3367122331820885,0.0037751180870310985,0.32119815494797876,-0.5863555270190273,0.5987978369918113,0.47949743362401875,0.005396525964621517,0.4380551447121519,ai_outputs\per_location_next_week\models\Kemalpaşa_Cad._No__46_best_GradientBoosting.pkl,21
Koşuyolu Cad. Efeler Mah. No:41 Avni Naili Limboz Camii,XGBoost,14,3,4,0.03492891634620732,0.22279191386560548,0.15845379811613367,0.0017561862596696426,0.1068135733909088,-1.0975096053797193,0.05725944560948133,0.04775955353461351,0.0005295662333304723,0.04059760992778649,-2.727018309052478,0.5357781685214266,0.45902239582420634,0.005121777660797761,0.3715490289199508,ai_outputs\per_location_next_week\models\Koşuyolu_Cad._Efeler_Mah._No_41_Avni_Naili_Limboz_Camii_best_XGBoost.pkl,21
M.pasa Cad. İle Hüseyin Ögütcen Kavşağı,RandomForest,14,3,3,0.1475280000378606,0.24384026400904985,0.1736366907079321,0.0019391322202183265,0.08862370974172507,-0.9906943960644954,0.3395967634070968,0.24776911204971933,0.00277832383604614,0.10556721937469149,0.12147855284375186,0.23141495536241544,0.1875778321167445,0.0020875691048597655,0.15794011562401522,ai_outputs\per_location_next_week\models\M.pasa_Cad._İle_Hüseyin_Ögütcen_Kavşağı_best_RandomForest.pkl,20
Mithatpaşa Caddesi No:479,GradientBoosting,15,3,4,-0.00013213086422747544,0.24975589358360434,0.22215381356489844,0.0024796546878270496,0.17278106668767634,-0.11304467251161743,0.10775778869993394,0.10712312433750526,0.00119643349746287,0.10917265448183855,-0.5382201473727064,0.3322048191715456,0.3047190258700567,0.0034129304126469875,0.3039682293006365,ai_outputs\per_location_next_week\models\Mithatpaşa_Caddesi_No_479_best_GradientBoosting.pkl,22
Mrk. Bornova Jandarma Komando Ambarlar Yanı,GradientBoosting,15,3,4,-0.0015501557886650197,0.39769080679290597,0.2802531289239255,0.0031249781158727966,0.2045831051785001,-8.049243691694576,0.7644998730055439,0.7210224938827802,0.00808958301518263,0.5844907466034783,-16.43560652802366,0.8170026048688906,0.7932275311405235,0.008902749164910177,0.7302396367308503,ai_outputs\per_location_next_week\models\Mrk._Bornova_Jandarma_Komando_Ambarlar_Yanı_best_GradientBoosting.pkl,22
R.erkutlu Şehitlik Önü No:290/a Kadifekale,RandomForest,15,3,4,0.2764993166256431,0.1715544152967444,0.13935052177012514,0.0015443714026243673,0.16653837342320799,-1.2303702824624203,0.26761675460160234,0.20166472060073679,0.0022445503220014187,0.1025663248621953,-0.12692033078503906,0.6559242894986586,0.38240679345814144,0.00429328727309482,0.10517834592027953,ai_outputs\per_location_next_week\models\R.erkutlu_Şehitlik_Önü_No_290_a_Kadifekale_best_RandomForest.pkl,22
Sakarya Cad.no:112 Manavkuyu,XGBoost,14,3,4,0.8460921707654572,0.2118546810149295,0.15994210221802824,0.0017884001157467098,0.18754707481866006,-1.1571561751167612,0.3977556208315101,0.3271050018081117,0.0036615890029668406,0.3604344919158109,0.2476741014712761,0.40983826600519263,0.3689061957401307,0.004145723277268703,0.3953865762247375,ai_outputs\per_location_next_week\models\Sakarya_Cad.no_112_Manavkuyu_best_XGBoost.pkl,21
Selimiye Cad. No:30/b Gültepe,Ridge,14,3,4,0.8468391904125296,0.09147716844352027,0.07752939182540176,0.0008586614313899169,0.07381593087642102,-202.73950413442824,0.398961855351517,0.369876373870909,0.004100211491966349,0.2653764385322859,-1.538370691706973,0.5059665230034175,0.40926183207961486,0.004578368944506302,0.3638131030748042,ai_outputs\per_location_next_week\models\Selimiye_Cad._No_30_b_Gültepe_best_Ridge.pkl,21
Türkmenistan Cad. İle 1206 Sok.. Kvs. Evka-1,XGBoost,14,3,4,-4.98132646242766e-11,0.16554410025323651,0.1173891251172025,0.0013010898895901046,0.06615440447950505,-2.3886360408604443,0.0895806765798999,0.07521022118019498,0.000835408128854896,0.08102772811093928,-1.886930543465322,0.127612409715456,0.10316982623946558,0.0011426159983136946,0.1112518037895498,ai_outputs\per_location_next_week\models\Türkmenistan_Cad._İle_1206_Sok.._Kvs._Evka-1_best_XGBoost.pkl,21
Ulu Önder Cad. İle Gökdere Cad.kavşağı,RandomForest,14,3,4,0.19789714136183956,0.19359299090432353,0.15147786794397433,0.001678295008266585,0.10943527842543688,-0.10372735380549614,0.32865781661801396,0.24787600509420807,0.0027610046462577063,0.16322329402258617,-0.5160779584973771,0.18251814247184137,0.1813827696448378,0.0020146972796103568,0.1744398196027177,ai_outputs\per_location_next_week\models\Ulu_Önder_Cad._İle_Gökdere_Cad.kavşağı_best_RandomForest.pkl,21
Yavuz Cad. 241/C Osmangazi,GradientBoosting,14,3,4,-0.0008021529443840159,0.5525195091697711,0.49941561735729223,0.005581226081482031,0.5179834034929769,-0.22548011667298162,0.2717867269747955,0.2675109206209214,0.0029952231777056106,0.24126148136507197,-0.44836620807514227,0.592433026613619,0.48156282450674937,0.005421711040120131,0.5421723136795364,ai_outputs\per_location_next_week\models\Yavuz_Cad._241_C_Osmangazi_best_GradientBoosting.pkl,21
Çanakkale Cad.i̇le 7057 Sok Kavsağıpınarbaşı,GradientBoosting,14,3,4,-0.0009116568315283846,0.610604700624723,0.5257650899466374,0.005871943671750504,0.5476027490323361,-0.009920173063304727,0.34451077291425414,0.3246808429718442,0.0036253964519576136,0.37228694144518215,-0.4647182849598117,0.5921099317832761,0.476858627033625,0.005365013097455382,0.41383384182648086,ai_outputs\per_location_next_week\models\Çanakkale_Cad.i̇le_7057_Sok_Kavsağıpınarbaşı_best_GradientBoosting.pkl,21
İnönü Cad. İle 100 Sok. Kavşağı,RandomForest,14,3,4,0.18382195124170997,0.21645728316371451,0.15636162034785478,0.0017329018640689974,0.09582451958129923,-0.7788377968958653,0.17199357152067402,0.1413790881324625,0.0015721965124719263,0.1256712750525253,-0.4257953699707664,0.6465512875578895,0.43182670078222785,0.004841936665139169,0.15719549682859224,ai_outputs\per_location_next_week\models\İnönü_Cad._İle_100_Sok._Kavşağı_best_RandomForest.pkl,21
İzsu Narlıdere Teknik Amirlik,RandomForest,14,3,4,0.17673411118560245,0.22856205284976494,0.17413047757125252,0.0019434109655632466,0.1091254778682682,-32.67086338514356,0.08194431993424076,0.0793485028873846,0.0008856652826403728,0.08699908694229919,-0.1264729769957631,0.3434485434881828,0.27768065795289587,0.003105734616857289,0.2539169506320249,ai_outputs\per_location_next_week\models\İzsu_Narlıdere_Teknik_Amirlik_best_RandomForest.pkl,21
Şehitler Cad. No:22 H.mustafa Gökdemir Camii Evka-3,GradientBoosting,14,3,4,-0.0012124812259561857,0.6080990473660024,0.5374451428744597,0.006001003082892537,0.539193516150057,-1.8695614751012548,0.3804505009236267,0.30887372480645564,0.0034651137270634617,0.40119108686803884,-0.8057741971117982,0.6196258037862797,0.4900697115058925,0.005515975158555503,0.4045298522392784,ai_outputs\per_location_next_week\models\Şehitler_Cad._No_22_H.mustafa_Gökdemir_Camii_Evka-3_best_GradientBoosting.pkl,21
